src_id,dst_id,edge_name,edge_type,class_num
pc_st_01_01,pc_st_01_02,next,next,pc_01_01_n
pc_st_01_02,pc_st_02_01,next,next,pc_01_02_n
pc_st_02_01,pc_st_02_02,next,next,pc_02_01_n
pc_st_02_02,pc_st_02_03,next,next,pc_02_02_n
pc_st_03_01,pc_st_03_02,next,next,pc_03_01_n
pc_st_04_01,pc_st_04_02,next,next,pc_04_01_n
pc_st_04_02,pc_st_05_01,next,next,pc_04_02_n
pc_st_05_01,pc_st_05_02,next,next,pc_05_01_n
pc_st_05_02,pc_st_05_03,next,next,pc_05_02_n
pc_st_05_03,pc_st_06_01,next,next,pc_05_03_n
pc_st_06_01,pc_st_06_02,next,next,pc_06_01_n
pc_st_06_02,pc_st_06_03,next,next,pc_06_02_n
pc_st_06_03,pc_st_07_01,next,next,pc_06_03_n
pc_st_07_01,pc_st_07_02,next,next,pc_07_01_n
pc_st_07_02,pc_st_08_01,next,next,pc_07_02_n
pc_st_08_01,pc_st_08_02,next,next,pc_08_01_n
pc_st_08_02,pc_st_08_03,next,next,pc_08_02_n
pc_st_09_01,pc_st_10_01,next,next,pc_09_01_n
pc_st_10_01,pc_st_10_02,next,next,pc_10_01_n
pc_st_10_02,pc_st_10_03,next,next,pc_10_02_n
pc_st_01_01,an_01,verify,action,pc_01_01_s
an_01,pc_ft_01_01_s,is,relationship,pc_01_01_s
pc_st_01_02,ic_11,verify,action,pc_01_02_s
ic_11,pc_ft_01_02_s,is_less_than,relationship,pc_01_02_s
pc_st_02_01,ct_01,turn,action,pc_02_01_s
ct_01,pc_ft_02_01_s,into,relationship,pc_02_01_s
pc_st_02_02,ct_01,turn,action,pc_02_02_s
ct_01,pc_ft_02_02_s,to,relationship,pc_02_02_s
pc_st_02_03,ic_11,check_if,action,pc_02_03_c
ic_11,pc_ft_02_03_c,is,relationship,pc_02_03_c
pc_ft_02_03_c,pc_in_02_03_t,TRUE,logical operation,pc_02_03_t
pc_ft_02_03_c,pc_st_03_01,FALSE,logical operation,pc_02_03_f
pc_st_03_01,ct_02,check_if,action,pc_03_01_c
ct_02,pc_ft_03_01_c,is,relationship,pc_03_01_c
pc_ft_03_01_c,ct_02,true_then_turn,action,pc_03_01_t
ct_02,pc_ft_03_01_t,to,relationship,pc_03_01_t
pc_st_03_02,ic_11,check_if,action,pc_03_02_c
ic_11,pc_ft_03_02_c,is,relationship,pc_03_02_c
pc_ft_03_02_c,pc_in_03_02_t,TRUE,logical operation,pc_03_02_t
pc_ft_03_02_c,pc_st_04_01,FALSE,logical operation,pc_03_02_f
pc_st_04_01,ct_03,adjust,action,pc_04_01_s
ct_03,pc_ft_04_01_s,to,relationship,pc_04_01_s
pc_st_04_02,ic_12,verify,action,pc_04_02_s
ic_12,pc_ft_04_02_s,is,relationship,pc_04_02_s
pc_st_05_01,ct_04,press,action,pc_05_01_s
pc_st_05_02,ct_05,verify,action,pc_05_02_s
ct_05,pc_ft_05_02_s,is,relationship,pc_05_02_s
pc_st_05_03,ct_06,verify,action,pc_05_03_s
ct_06,pc_ft_05_03_s,is,relationship,pc_05_03_s
pc_st_06_01,ct_07,press,action,pc_06_01_s
pc_st_06_02,an_02,verify,action,pc_06_02_s
an_02,pc_ft_06_02_s,is,relationship,pc_06_02_s
pc_st_06_03,ic_13,verify,action,pc_06_03_s
ic_13,pc_ft_06_03_s,is,relationship,pc_06_03_s
pc_st_07_01,ct_08,press,action,pc_07_01_s
pc_st_07_02,an_03,verify,action,pc_07_02_s
an_03,pc_ft_07_02_s,is,relationship,pc_07_02_s
pc_st_08_01,ic_12,verify,action,pc_08_01_s
ic_12,pc_ft_08_01_s,is,relationship,pc_08_01_s
pc_st_08_02,ic_12,check_if,action,pc_08_02_c
ic_12,pc_ft_08_02_c,is_below,relationship,pc_08_02_c
pc_ft_08_02_c,ct_09,true_then_turn,action,pc_08_02_t
ct_09,pc_ft_08_02_t,to,relationship,pc_08_02_t
pc_st_08_03,ic_12,check_if,action,pc_08_03_c
ic_12,pc_ft_08_03_c,is_over,relationship,pc_08_03_c
pc_ft_08_03_c,pc_st_09_01,TRUE,logical operation,pc_08_03_t
pc_ft_08_03_c,pc_in_08_03_f,FALSE,logical operation,pc_08_03_f
pc_st_09_01,ct_10,turn,action,pc_09_01_s
ct_10,pc_ft_09_01_s,to,relationship,pc_09_01_s
pc_st_10_01,ic_12,check_if,action,pc_10_01_c
ic_12,pc_ft_10_01_c,is_over,relationship,pc_10_01_c
pc_ft_10_01_c,ct_03,true_then_slowly_adjust,action,pc_10_01_t
ct_03,pc_ft_10_01_t,up_to,relationship,pc_10_01_t
pc_st_10_02,ic_12,verify,action,pc_10_02_s
ic_12,pc_ft_10_02_s,is_maintained_below,relationship,pc_10_02_s
pc_st_10_03,ct_03,return,action,pc_10_03_s
ct_03,pc_ft_10_03_s,to,relationship,pc_10_03_s
